school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Abilene Christian University,3669,3508,Texas,Midsize City,private,100.0,100.0,100.0,15,7,33,7,3,15,22,10,48,21.527510451284794,0.7503731525498005
Adams State University,1956,1514,Colorado,Town,NA,80.25,52.17,97.71,1,1,3,0,0,1,1,1,4,0.6589700195080896,0.9612506957398074
Adelphi University,5269,4874,New York,Suburb,private,99.89,98.59,100.0,5,3,8,2,1,3,7,4,11,5.724579760302761,1.079209676853222
Adrian College,1673,1606,Michigan,Town,private,82.48,62.2,96.82,1,1,2,1,0,1,2,1,3,1.422484822335828,0.3183206841038128
Agnes Scott College,923,913,Georgia,Suburb,private,72.48,42.91,95.52,1,0,2,0,0,1,1,0,3,0.4972634609435075,0.7908849398971985
Alabama A & M University,5032,4714,Alabama,Midsize City,public,99.92,96.47,100.0,5,2,11,2,1,4,7,3,15,4.825093821368715,2.261463011327927
Alabama State University,4212,3866,Alabama,Midsize City,NA,99.88,96.16,100.0,5,2,10,2,1,4,7,3,14,3.969221184327416,2.7664875701968534
Alaska Pacific University,298,203,Alaska,Large City,private,26.39,15.34,45.25,0,0,0,0,0,0,0,0,0,0.0016431527649826139,0.30398975573208104
Albany State University,6266,3927,Georgia,Small City,NA,99.65,86.32,100.0,4,1,11,2,1,5,6,2,16,4.767503454599631,0.8899751172827585
Albertus Magnus College,1130,1012,Connecticut,Midsize City,NA,43.89,31.84,61.28,0,0,1,0,0,0,0,0,1,0.30631537437022566,0.27115574312168106
Albion College,1565,1554,Michigan,Town,NA,80.71,60.18,96.21,1,1,2,0,0,1,1,1,3,1.462297181206044,0.18256137000538056
Albright College,2019,1993,Pennsylvania,Small City,NA,94.29,80.83,99.44,2,1,4,1,0,2,3,1,6,1.2422205934350028,1.6177524232813851
Alcorn State University,3169,2893,Mississippi,Rural,NA,100.0,99.66,100.0,8,4,16,3,2,6,11,6,22,10.032907545618091,1.3253618126275812
Alderson Broaddus University,950,903,West Virginia,Town,private,30.07,17.18,48.06,0,0,0,0,0,0,0,0,0,0.04990131338027161,0.3075655125734311
Alfred University,1704,1600,New York,Town,NA,88.58,73.97,97.35,2,1,3,1,0,1,3,1,4,1.6322605667115144,0.5360598420013966
Alice Lloyd College,598,584,Kentucky,Rural,private,44.44,23.19,73.8,0,0,1,0,0,0,0,0,1,0.4951825865482924,0.09224862643921665
Allegheny College,1800,1752,Pennsylvania,Town,NA,89.34,73.23,98.2,2,1,3,1,0,1,3,1,4,0.9459204354927194,1.290272144525207
Allen University,590,563,South CaroliNA,Midsize City,private,81.33,53.32,96.71,1,1,2,0,0,1,1,1,3,1.5631284602246944,0.11253478867399398
Alma College,1427,1386,Michigan,Town,NA,79.11,58.12,95.67,1,1,2,0,0,1,1,1,3,1.462297181206044,0.10277589025362276
Alvernia University,2252,1670,Pennsylvania,Small City,NA,94.54,81.77,99.46,2,1,4,1,0,2,3,1,6,1.5935042858408028,1.3126391897885734
Alverno College,1312,1036,Wisconsin,Large City,NA,25.65,17.76,38.4,0,0,0,0,0,0,0,0,0,0.227264221789813,0.06893737376462203
American InterContinental University - Atlanta,1905,932,Georgia,Midsize City,private,81.6,45.12,99.1,1,0,3,0,0,1,1,0,4,1.352109635374481,0.33981400830394254
American InterNAtioNAl College,1374,1254,Massachusetts,Midsize City,private,88.94,72.15,98.1,2,1,3,1,0,1,3,1,4,1.5178960608810306,0.6812259054749631
American Jewish University,68,63,California,Large City,NA,19.56,11.44,33.89,0,0,0,0,0,0,0,0,0,0.18354059017932456,0.03368797043247061
American Public University System,37910,2914,West Virginia,Town,NA,100.0,100.0,100.0,56,28,116,24,12,51,80,40,167,0.04817063199136046,80.1360941623529
American University,8124,7764,District of Columbia,Large City,NA,100.0,99.97,100.0,10,6,19,4,2,8,14,8,27,0.18777645369985455,14.377876910399658
Amherst College,1832,1836,Massachusetts,Suburb,private,97.72,87.97,99.92,3,1,5,1,1,2,4,2,7,0.4362224050126239,3.3388838469364894
Amridge University,321,147,Alabama,Midsize City,NA,55.7,34.23,81.07,1,0,1,0,0,0,1,0,1,0.24006183721890084,0.5723632403138194
Anderson University IndiaNA,1565,1431,IndiaNA,Small City,NA,72.95,54.75,89.99,1,1,2,0,0,1,1,1,3,0.8063658835061187,0.4999634169834768
Anderson University South CaroliNA,2984,2550,South CaroliNA,Small City,private,99.98,98.17,100.0,6,3,12,2,1,5,8,4,17,7.796264675583497,0.9271551158159088
Andrews University,1704,1344,Michigan,Town,NA,95.54,81.92,99.78,2,1,4,1,1,2,3,2,6,0.48205234523937285,2.62319067229112
Angelo State University,8721,5332,Texas,Midsize City,NA,100.0,100.0,100.0,41,20,87,18,8,40,59,28,127,58.412355944533275,0.217135840726031
AnNA Maria College,1121,866,Massachusetts,Rural,NA,85.37,67.09,96.89,1,1,2,1,0,1,2,1,3,1.750811191159264,0.16960767130147328
Antioch University - Seattle,90,17,Washington,Large City,NA,16.22,9.31,28.55,0,0,0,0,0,0,0,0,0,0.003919495017147744,0.1727168392507849
Appalachian State University,17014,16071,North CaroliNA,Town,public,100.0,99.69,100.0,8,4,17,3,2,7,11,6,24,7.838098544474572,3.8520174735609563
AquiNAs College Michigan,1553,1317,Michigan,Midsize City,NA,80.7,60.08,96.28,1,1,2,0,0,1,1,1,3,1.5333138213529158,0.1108760377776849
Arcadia University,2387,2177,Pennsylvania,Suburb,NA,95.6,83.45,99.67,2,1,4,1,1,2,3,2,6,1.423462614444372,1.6985371103720897
ArizoNA Christian University,784,646,ArizoNA,Large City,NA,89.99,73.84,98.24,2,1,3,1,0,1,3,1,4,1.896724050683364,0.40088496922864836
ArizoNA State University - Tempe,42429,38814,ArizoNA,Midsize City,NA,100.0,100.0,100.0,83,48,146,33,20,59,116,68,205,83.0064805319061,33.4929462197666
Arkansas Baptist College,597,496,Arkansas,Midsize City,NA,63.9,38.92,88.44,1,0,2,0,0,1,1,0,3,0.18293237834701875,0.8339381870575798
Arkansas State University - Main Campus,9608,6894,Arkansas,Small City,public,99.8,91.61,100.0,5,2,10,2,1,4,7,3,14,4.546267281006779,1.6553222229812286
Arkansas Tech University,10780,6729,Arkansas,Town,public,99.87,92.64,100.0,5,2,11,2,1,4,7,3,15,5.483729440188023,1.1443005851615113
Armstrong State University,6283,4513,Georgia,Midsize City,public,99.59,84.55,100.0,4,1,11,1,0,4,5,1,15,4.807412239587071,0.6792058658397848
Asbury University,1731,1325,Kentucky,Town,NA,90.17,68.32,99.29,2,1,3,1,0,1,3,1,4,0.8720826929089359,1.4443839257247797
Ashford University,31543,31545,California,Large City,private,100.0,100.0,100.0,48,24,98,20,10,43,68,34,141,5.480522022754632,62.603319064585826
Ashland University,4812,3380,Ohio,Town,NA,97.11,85.89,99.86,3,1,5,1,1,2,4,2,7,3.0684844165914718,0.47333783747782804
Assumption College,2085,1937,Massachusetts,Midsize City,private,96.26,84.67,99.75,2,1,4,1,1,2,3,2,6,2.4377134397764277,0.8441868053171427
