school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Abilene Christian University,3669,3508,Texas,Midsize City,private,100.0,99.91,100.0,12,5,30,6,2,17,18,7,47,17.598279975381974,0.4760660919850954
Adams State University,1956,1514,Colorado,Town,NA,61.54,34.78,91.33,1,0,2,0,0,1,1,0,3,0.36005217250340515,0.5944670465749256
Adelphi University,5269,4874,New York,Suburb,private,98.27,91.19,99.94,3,2,5,1,1,2,4,3,7,3.4117655521439123,0.6439591974934138
Adrian College,1673,1606,Michigan,Town,private,66.61,46.01,89.01,1,0,1,0,0,1,1,0,2,0.9120162311404185,0.1845253696388546
Agnes Scott College,923,913,Georgia,Suburb,private,52.23,26.42,86.72,0,0,1,0,0,1,0,0,2,0.19293643372768016,0.5447937578259581
Alabama A & M University,5032,4714,Alabama,Midsize City,public,95.88,74.49,99.94,2,1,5,1,0,2,3,1,7,1.8808827969502746,1.3057466358975185
Alabama State University,4212,3866,Alabama,Midsize City,NA,96.29,77.68,99.95,2,1,5,1,0,2,3,1,7,1.5472527829053246,1.7424851354619246
Alaska Pacific University,298,203,Alaska,Large City,private,20.27,10.4,39.74,0,0,0,0,0,0,0,0,0,6.231994413444522e-05,0.22596962682291968
Albany State University,6266,3927,Georgia,Small City,NA,91.69,58.89,99.98,2,1,6,1,0,3,3,1,9,1.849774187247887,0.6363143254040959
Albertus Magnus College,1130,1012,Connecticut,Midsize City,NA,35.13,26.08,50.76,0,0,0,0,0,0,0,0,0,0.2605856917456742,0.1720318586009943
Albion College,1565,1554,Michigan,Town,NA,65.15,44.92,87.99,1,0,1,0,0,1,1,0,2,0.9375416475944243,0.11621921351571905
Albright College,2019,1993,Pennsylvania,Small City,NA,81.17,61.94,95.79,1,1,2,1,0,1,2,1,3,0.8752809294346111,0.793957555082628
Alcorn State University,3169,2893,Mississippi,Rural,NA,99.54,90.29,100.0,4,2,8,2,1,4,6,3,12,4.527444419697461,0.84139950677608
Alderson Broaddus University,950,903,West Virginia,Town,private,18.96,9.39,34.77,0,0,0,0,0,0,0,0,0,0.015117690337296897,0.1949654193511855
Alfred University,1704,1600,New York,Town,NA,73.0,54.14,90.85,1,1,2,0,0,1,1,1,3,0.9728033509545718,0.3359700453259502
Alice Lloyd College,598,584,Kentucky,Rural,private,26.67,11.54,52.75,0,0,1,0,0,0,0,0,1,0.2600028530950644,0.05012099401908075
Allegheny College,1800,1752,Pennsylvania,Town,NA,76.51,57.57,93.42,1,1,2,0,0,1,1,1,3,0.6665049044629129,0.7812163972681921
Allen University,590,563,South CaroliNA,Midsize City,private,55.52,24.72,85.36,1,0,1,0,0,1,1,0,2,0.7464901200029979,0.06298322747343715
Alma College,1427,1386,Michigan,Town,NA,63.45,43.13,87.02,1,0,1,0,0,1,1,0,2,0.9375416475944243,0.06859423608056178
Alvernia University,2252,1670,Pennsylvania,Small City,NA,82.93,65.25,96.23,1,1,2,1,0,1,2,1,3,1.1227988971845626,0.6440413552722979
Alverno College,1312,1036,Wisconsin,Large City,NA,19.08,13.91,28.25,0,0,0,0,0,0,0,0,0,0.1621217118570771,0.04955332704071259
American InterContinental University - Atlanta,1905,932,Georgia,Midsize City,private,51.48,22.43,91.56,0,0,2,0,0,1,0,0,3,0.524613673731445,0.19821997080928297
American InterNAtioNAl College,1374,1254,Massachusetts,Midsize City,private,76.07,53.04,94.06,1,1,2,0,0,1,1,1,3,0.9929458876360503,0.4359980936363661
American Jewish University,68,63,California,Large City,NA,13.29,7.45,25.3,0,0,0,0,0,0,0,0,0,0.118164134869932,0.02426957862095191
American Public University System,37910,2914,West Virginia,Town,NA,100.0,100.0,100.0,36,16,90,18,8,47,54,24,137,0.01459337737762186,53.655801444839135
American University,8124,7764,District of Columbia,Large City,NA,99.99,99.1,100.0,6,3,14,3,2,7,9,5,21,0.09910558627828182,9.204034805746288
Amherst College,1832,1836,Massachusetts,Suburb,private,92.13,73.73,99.5,2,1,3,1,0,2,3,1,5,0.2853589612061991,2.2533161496771643
Amridge University,321,147,Alabama,Midsize City,NA,38.58,21.73,65.6,0,0,1,0,0,0,0,0,1,0.09357915028090055,0.3929067013720739
Anderson University IndiaNA,1565,1431,IndiaNA,Small City,NA,56.37,41.09,77.02,1,0,1,0,0,0,1,0,1,0.5085670452171355,0.3203686237021344
Anderson University South CaroliNA,2984,2550,South CaroliNA,Small City,private,98.7,78.95,100.0,3,1,7,1,0,3,4,1,10,3.7231965902628863,0.6127940028063263
Andrews University,1704,1344,Michigan,Town,NA,88.3,67.31,98.99,1,1,3,1,0,2,2,1,5,0.30906450192958207,1.8329688082072402
Angelo State University,8721,5332,Texas,Midsize City,NA,100.0,100.0,100.0,31,12,80,16,6,44,47,18,124,47.7508533213702,0.13137531096605945
AnNA Maria College,1121,866,Massachusetts,Rural,NA,71.57,47.86,91.74,1,0,2,0,0,1,1,0,3,1.1453094958818941,0.11170066539794327
Antioch University - Seattle,90,17,Washington,Large City,NA,10.85,5.89,21.19,0,0,0,0,0,0,0,0,0,0.003048163804396513,0.11168962994444039
Appalachian State University,17014,16071,North CaroliNA,Town,public,99.82,95.6,100.0,4,2,9,2,1,4,6,3,13,3.866793065949261,2.457242910683347
AquiNAs College Michigan,1553,1317,Michigan,Midsize City,NA,64.97,44.85,87.9,1,0,1,0,0,1,1,0,2,0.9830734715394073,0.06553162268321897
Arcadia University,2387,2177,Pennsylvania,Suburb,NA,85.09,66.32,98.09,1,1,3,1,0,1,2,1,4,1.0029858519258905,0.8989665139836345
ArizoNA Christian University,784,646,ArizoNA,Large City,NA,75.47,59.39,91.64,1,1,2,0,0,1,1,1,3,1.1409446318596206,0.2630489721443889
ArizoNA State University - Tempe,42429,38814,ArizoNA,Midsize City,NA,100.0,100.0,100.0,48,30,88,24,15,44,72,45,132,49.931247689044255,22.273386586519358
Arkansas Baptist College,597,496,Arkansas,Midsize City,NA,45.34,23.52,76.03,0,0,1,0,0,0,0,0,1,0.04950168392337449,0.5533940960559396
Arkansas State University - Main Campus,9608,6894,Arkansas,Small City,public,89.04,45.97,99.77,2,0,4,1,0,2,3,0,6,1.2302244578522112,0.9791955171921953
Arkansas Tech University,10780,6729,Arkansas,Town,public,89.63,43.66,99.82,2,0,4,1,0,2,3,0,6,1.4839026525667798,0.7803967977840724
Armstrong State University,6283,4513,Georgia,Midsize City,public,89.88,53.84,99.97,2,1,6,1,0,3,3,1,9,1.865258652234057,0.42434231128445477
Asbury University,1731,1325,Kentucky,Town,NA,76.62,48.75,96.55,1,0,2,0,0,1,1,0,3,0.4578997615236963,0.993415090960322
Ashford University,31543,31545,California,Large City,private,100.0,100.0,100.0,30,14,74,15,7,39,45,21,113,3.5283810672161695,41.59696999675687
Ashland University,4812,3380,Ohio,Town,NA,82.24,59.21,97.08,1,1,2,1,0,1,2,1,3,1.3983388465466817,0.32898476988583447
Assumption College,2085,1937,Massachusetts,Midsize City,private,88.29,67.37,98.61,1,1,3,1,0,1,2,1,4,1.5946530185052303,0.5488578774675794
Point University,1925,1119,Georgia,Town,NA,58.8,27.87,94.19,1,0,2,0,0,1,1,0,3,0.5376206243198278,0.348372147748615
Auburn University,23968,21762,Alabama,Small City,public,100.0,100.0,100.0,17,8,40,8,4,20,25,12,60,7.798456269061135,17.281132147300085
Auburn University at Montgomery,4312,3239,Alabama,Midsize City,NA,93.2,66.06,99.81,2,1,4,1,0,2,3,1,6,2.347034837479978,0.33972069622360795
Augsburg University,2428,2033,Minnesota,Large City,NA,41.08,27.1,64.08,0,0,1,0,0,0,0,0,1,0.2383668161686342,0.2901209545173759
