school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Abilene Christian University,3669,3508,Texas,Midsize City,private,100.0,100.0,100.0,40,17,94,15,6,35,55,23,129,53.13930829861577,1.884838122438953
Adams State University,1956,1514,Colorado,Town,NA,98.34,80.77,100.0,3,1,7,1,0,3,4,1,10,1.537250483843228,2.5447466784363404
Adelphi University,5269,4874,New York,Suburb,private,100.0,99.99,100.0,11,7,19,5,3,9,16,10,28,13.542059479228117,2.671615908832217
Adrian College,1673,1606,Michigan,Town,private,99.51,92.06,100.0,4,2,8,2,1,4,6,3,12,4.3395941126869655,0.9625183039090509
Agnes Scott College,923,913,Georgia,Suburb,private,98.16,77.95,100.0,3,1,7,1,0,3,4,1,10,1.865285760550548,2.1137341803454857
Alabama A & M University,5032,4714,Alabama,Midsize City,public,100.0,100.0,100.0,16,7,34,7,3,16,23,10,50,16.77615484290856,6.799280563431733
Alabama State University,4212,3866,Alabama,Midsize City,NA,100.0,99.99,100.0,15,7,31,7,3,15,22,10,46,13.800409206372866,7.566185596737339
Alaska Pacific University,298,203,Alaska,Large City,private,52.29,30.99,78.91,1,0,1,0,0,0,1,0,1,0.0021194639627624087,0.7339272808545274
Albany State University,6266,3927,Georgia,Small City,NA,100.0,99.76,100.0,14,4,40,6,2,20,20,6,60,17.88338980380164,2.2511275005691656
Albertus Magnus College,1130,1012,Connecticut,Midsize City,NA,66.12,47.0,86.33,1,0,1,0,0,1,1,0,2,0.43994970388826926,0.6402687148334205
Albion College,1565,1554,Michigan,Town,NA,99.32,90.51,100.0,3,2,7,2,1,4,5,3,11,4.461050226279566,0.5211304440911414
Albright College,2019,1993,Pennsylvania,Small City,NA,99.91,97.88,100.0,5,3,9,2,1,5,7,4,14,2.5247597060579383,4.497461321480323
Alcorn State University,3169,2893,Mississippi,Rural,NA,100.0,100.0,100.0,27,14,52,13,6,26,40,20,78,36.174095799914454,3.726267790099768
Alderson Broaddus University,950,903,West Virginia,Town,private,62.11,37.87,84.5,1,0,1,0,0,1,1,0,2,0.15621395270972904,0.8126718282943218
Alfred University,1704,1600,New York,Town,NA,99.41,95.12,99.99,4,2,6,2,1,3,6,3,9,3.8612737712710077,1.2588963775105462
Alice Lloyd College,598,584,Kentucky,Rural,private,79.53,49.02,97.82,1,0,3,1,0,1,2,0,4,1.3008541591944223,0.28322586313015613
Allegheny College,1800,1752,Pennsylvania,Town,NA,99.44,94.03,100.0,4,2,7,2,1,3,6,3,10,1.922542431908053,3.247553378632399
Allen University,590,563,South CaroliNA,Midsize City,private,99.96,97.96,100.0,5,3,10,3,1,6,8,4,16,7.558285878297047,0.31280737017071697
Alma College,1427,1386,Michigan,Town,NA,99.12,89.02,100.0,3,2,7,2,1,4,5,3,11,4.461050226279566,0.26484184668239275
Alvernia University,2252,1670,Pennsylvania,Small City,NA,99.9,97.8,100.0,5,3,9,2,1,4,7,4,13,3.238728639328421,3.675931703425331
Alverno College,1312,1036,Wisconsin,Large City,NA,56.04,37.08,79.08,1,0,1,0,0,0,1,0,1,0.6257042951586773,0.19527644607687752
American InterContinental University - Atlanta,1905,932,Georgia,Midsize City,private,99.79,85.17,100.0,4,1,12,2,1,6,6,2,18,5.071900607339692,1.06881439645858
American InterNAtioNAl College,1374,1254,Massachusetts,Midsize City,private,99.24,93.44,99.99,3,2,6,2,1,3,5,3,9,3.2736004307746844,1.5958276621055758
American Jewish University,68,63,California,Large City,NA,36.71,20.5,61.23,0,0,1,0,0,0,0,0,1,0.366066046152848,0.0894565545582208
American Public University System,37910,2914,West Virginia,Town,NA,100.0,100.0,100.0,150,70,332,69,30,159,219,100,491,0.15079612776025866,218.8620456708602
American University,8124,7764,District of Columbia,Large City,NA,100.0,100.0,100.0,25,13,51,11,6,24,36,19,75,0.5189389862562392,35.90183628153209
Amherst College,1832,1836,Massachusetts,Suburb,private,99.99,98.96,100.0,6,3,12,3,1,6,9,4,18,0.9407876400535828,7.882400598735354
Amridge University,321,147,Alabama,Midsize City,NA,89.01,64.87,99.04,1,1,3,1,0,2,2,1,5,0.8346603614673296,1.3634500944175274
Anderson University IndiaNA,1565,1431,IndiaNA,Small City,NA,99.08,92.41,99.99,3,2,6,1,1,3,4,3,9,3.3119282631490816,1.3615034067344134
Anderson University South CaroliNA,2984,2550,South CaroliNA,Small City,private,100.0,100.0,100.0,26,13,53,14,7,28,40,20,81,37.69773163266337,2.3749490848874486
Andrews University,1704,1344,Michigan,Town,NA,99.96,97.91,100.0,5,3,11,2,1,5,7,4,16,1.4706037537698642,6.34086115218564
Angelo State University,8721,5332,Texas,Midsize City,NA,100.0,100.0,100.0,106,45,248,39,16,92,145,61,340,144.18723419083435,0.5476369449234896
AnNA Maria College,1121,866,Massachusetts,Rural,NA,98.41,90.24,99.95,3,2,5,1,1,2,4,3,7,3.775921433156235,0.3577951539368681
Antioch University - Seattle,90,17,Washington,Large City,NA,33.33,18.44,56.77,0,0,1,0,0,0,0,0,1,0.011001028575087106,0.39294444653512667
Appalachian State University,17014,16071,North CaroliNA,Town,public,100.0,100.0,100.0,22,10,48,10,5,23,32,15,71,20.558732301746307,11.679507464994499
AquiNAs College Michigan,1553,1317,Michigan,Midsize City,NA,99.32,90.35,100.0,3,2,7,2,1,4,5,3,11,4.677701672147448,0.30927766049403876
Arcadia University,2387,2177,Pennsylvania,Suburb,NA,99.95,98.3,100.0,5,3,10,2,1,5,7,4,15,2.893126286122129,4.62431648061634
ArizoNA Christian University,784,646,ArizoNA,Large City,NA,99.61,94.99,100.0,4,2,7,2,1,3,6,3,10,4.533128786802457,0.9949488007513869
ArizoNA State University - Tempe,42429,38814,ArizoNA,Midsize City,NA,100.0,100.0,100.0,192,104,369,84,45,167,276,149,536,198.38366379905028,77.67863456642647
Arkansas Baptist College,597,496,Arkansas,Midsize City,NA,94.14,72.32,99.81,2,1,4,1,0,2,3,1,6,0.6140305622410632,2.2095220300080687
