school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Abilene Christian University,3669,3508,Texas,Midsize City,private,100.0,99.95,100.0,14,5,33,6,2,14,20,7,47,18.022462758346965,1.8110699704329363
Adams State University,1956,1514,Colorado,Town,NA,94.74,61.43,99.99,2,1,6,1,0,3,3,1,9,1.2134755916229738,1.7255044445041852
Adelphi University,5269,4874,New York,Suburb,private,100.0,99.91,100.0,9,5,19,5,2,10,14,7,29,11.54175008587593,2.3496556489018254
Adrian College,1673,1606,Michigan,Town,private,99.56,84.92,100.0,4,1,10,2,1,5,6,2,15,4.521453723257158,0.8937443969690633
Agnes Scott College,923,913,Georgia,Suburb,private,95.95,59.53,100.0,2,1,7,1,0,4,3,1,11,1.5243037628929237,1.6721317347373863
Alabama A & M University,5032,4714,Alabama,Midsize City,public,100.0,99.89,100.0,13,5,32,6,2,17,19,7,49,13.741141110439871,5.424010267796573
Alabama State University,4212,3866,Alabama,Midsize City,NA,100.0,99.86,100.0,12,4,31,6,2,17,18,6,48,11.303744634113391,7.006080785899706
Alaska Pacific University,298,203,Alaska,Large City,private,43.19,22.73,71.95,0,0,1,0,0,0,0,0,1,8.039285080069362e-05,0.5632391147977621
Albany State University,6266,3927,Georgia,Small City,NA,100.0,95.23,100.0,11,2,46,6,1,26,17,3,72,14.614231742792027,2.0843266103075764
Albertus Magnus College,1130,1012,Connecticut,Midsize City,NA,56.62,38.3,81.03,1,0,1,0,0,1,1,0,2,0.3488156305990095,0.4854427193945339
Albion College,1565,1554,Michigan,Town,NA,99.38,82.66,100.0,3,1,9,2,1,5,5,2,14,4.647999704921693,0.4194752494544861
Albright College,2019,1993,Pennsylvania,Small City,NA,99.74,93.89,100.0,4,2,9,2,1,5,6,3,14,2.2119224839737726,3.7185016562573794
Alcorn State University,3169,2893,Mississippi,Rural,NA,100.0,100.0,100.0,24,10,52,12,5,27,36,15,79,33.46785990136034,2.6109382979200664
Alderson Broaddus University,950,903,West Virginia,Town,private,62.25,29.33,89.33,1,0,1,0,0,1,1,0,2,0.11259823433557843,0.859295771612138
Alfred University,1704,1600,New York,Town,NA,98.77,88.98,99.99,3,1,6,1,1,3,4,2,9,3.290921661473742,1.1026907529299674
Alice Lloyd College,598,584,Kentucky,Rural,private,77.75,38.97,98.54,1,0,3,1,0,1,2,0,4,1.1936796674069239,0.3066292870381514
Allegheny College,1800,1752,Pennsylvania,Town,NA,98.93,88.07,100.0,3,1,7,2,1,4,5,2,11,1.6843245800095366,2.846830946199239
Allen University,590,563,South CaroliNA,Midsize City,private,99.99,98.04,100.0,7,3,15,3,1,7,10,4,22,9.47305224132897,0.2673603090186816
Alma College,1427,1386,Michigan,Town,NA,99.22,80.64,100.0,3,1,9,2,1,5,5,2,14,4.647999704921693,0.1970612580284977
Alvernia University,2252,1670,Pennsylvania,Small City,NA,99.72,94.19,100.0,4,2,9,2,1,5,6,3,14,2.8374251536220934,3.0414472528008285
Alverno College,1312,1036,Wisconsin,Large City,NA,45.82,28.0,72.23,0,0,1,0,0,0,0,0,1,0.496458895970822,0.11612990959977934
American InterContinental University - Atlanta,1905,932,Georgia,Midsize City,private,99.46,64.61,100.0,3,1,14,2,0,8,5,1,22,4.144736074383006,1.0559943705455743
American InterNAtioNAl College,1374,1254,Massachusetts,Midsize City,private,98.98,88.24,100.0,3,1,6,2,1,4,5,2,10,3.236889181033735,1.3417566975545738
American Jewish University,68,63,California,Large City,NA,29.96,14.18,57.86,0,0,1,0,0,0,0,0,1,0.2956079480764481,0.05940685053272438
American Public University System,37910,2914,West Virginia,Town,NA,100.0,100.0,100.0,124,46,330,63,23,168,187,69,498,0.10869309326035606,186.83872899554262
American University,8124,7764,District of Columbia,Large City,NA,100.0,100.0,100.0,20,9,49,11,4,26,31,13,75,0.4273450269317575,30.5905168086446
Amherst College,1832,1836,Massachusetts,Suburb,private,99.95,96.21,100.0,5,2,11,3,1,6,8,3,17,0.9302373329108653,6.574216657899843
Amridge University,321,147,Alabama,Midsize City,NA,87.12,54.44,99.36,1,1,3,1,0,2,2,1,5,0.683659987262305,1.355383602717809
Anderson University IndiaNA,1565,1431,IndiaNA,Small City,NA,98.78,87.73,99.99,3,1,6,2,1,3,5,2,9,3.1811786471960706,1.2172123656455316
Anderson University South CaroliNA,2984,2550,South CaroliNA,Small City,private,100.0,100.0,100.0,34,14,76,16,6,38,50,20,114,47.247826674727555,2.100884125335601
Andrews University,1704,1344,Michigan,Town,NA,99.9,93.9,100.0,5,2,11,2,1,6,7,3,17,1.5322324266408525,5.35972728645817
