school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Abilene Christian University,3669,3508,Texas,Midsize City,private,100.0,100.0,100.0,42,18,97,22,9,54,64,27,151,61.76978993283373,1.883222169611346
Adams State University,1956,1514,Colorado,Town,NA,98.48,81.45,100.0,3,1,7,1,1,4,4,2,11,1.5345164883773719,2.634783992538524
Adelphi University,5269,4874,New York,Suburb,private,100.0,99.99,100.0,11,7,19,5,3,9,16,10,28,13.518174270935113,2.68431784304501
Adrian College,1673,1606,Michigan,Town,private,99.5,92.04,100.0,4,2,8,2,1,4,6,3,12,4.333028902676494,0.961599069887219
Agnes Scott College,923,913,Georgia,Suburb,private,98.36,78.95,100.0,3,1,7,1,0,4,4,1,11,1.8644468633617222,2.230319192177841
Alabama A & M University,5032,4714,Alabama,Midsize City,public,100.0,100.0,100.0,16,7,34,7,3,17,23,10,51,16.76747097179868,6.943058366087235
Alabama State University,4212,3866,Alabama,Midsize City,NA,100.0,99.99,100.0,15,7,31,7,3,15,22,10,46,13.79326567581214,7.615037459368974
Alaska Pacific University,298,203,Alaska,Large City,private,54.6,32.32,81.42,1,0,1,0,0,1,1,0,2,0.002119055323204234,0.7825696738162266
Albany State University,6266,3927,Georgia,Small City,NA,100.0,99.76,100.0,14,4,40,6,2,20,20,6,60,17.87534689383558,2.326649338813168
Albertus Magnus College,1130,1012,Connecticut,Midsize City,NA,66.74,47.37,86.94,1,0,1,0,0,1,1,0,2,0.43971302074947144,0.6585679025789837
Albion College,1565,1554,Michigan,Town,NA,99.32,90.53,100.0,3,2,7,2,1,4,5,3,11,4.454301269846714,0.5315156442584581
Albright College,2019,1993,Pennsylvania,Small City,NA,99.91,97.86,100.0,5,3,9,2,1,4,7,4,13,2.5214708522618694,4.48934485201368
Alcorn State University,3169,2893,Mississippi,Rural,NA,100.0,100.0,100.0,27,14,52,13,6,26,40,20,78,36.159668007706195,3.915296705449569
Alderson Broaddus University,950,903,West Virginia,Town,private,62.06,37.82,84.44,1,0,1,0,0,1,1,0,2,0.15598425185383802,0.8115467344584036
