school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Abilene Christian University,3669,3508,Texas,Midsize City,private,100.0,100.0,100.0,55,17,147,30,9,79,85,26,226,82.80204216216559,1.8449543580348724
Adams State University,1956,1514,Colorado,Town,NA,97.97,69.84,100.0,3,1,8,1,0,4,4,1,12,1.209733447533696,2.6671456614590756
Adelphi University,5269,4874,New York,Suburb,private,100.0,99.91,100.0,9,5,19,5,2,10,14,7,29,11.497350109580594,2.4643738136918194
Adrian College,1673,1606,Michigan,Town,private,99.55,84.84,100.0,4,1,10,2,1,5,6,2,15,4.5047662120543785,0.8915098483966956
Agnes Scott College,923,913,Georgia,Suburb,private,98.37,68.56,100.0,3,1,9,1,0,5,4,1,14,1.5212394159062925,2.569924852446232
Alabama A & M University,5032,4714,Alabama,Midsize City,public,100.0,99.92,100.0,13,5,34,7,2,18,20,7,52,13.728666658032573,6.538058545097972
Alabama State University,4212,3866,Alabama,Midsize City,NA,100.0,99.88,100.0,12,4,32,6,2,17,18,6,49,11.29348289359787,7.394760496626821
Alaska Pacific University,298,203,Alaska,Large City,private,60.89,30.18,90.25,1,0,1,0,0,1,1,0,2,8.03706589931471e-05,0.9307117897225038
Albany State University,6266,3927,Georgia,Small City,NA,100.0,95.95,100.0,11,2,47,6,1,27,17,3,74,14.584852377541388,2.6677296533122297
Albertus Magnus College,1130,1012,Connecticut,Midsize City,NA,62.43,40.65,87.41,1,0,1,0,0,1,1,0,2,0.3484575241023485,0.6272756153478583
Albion College,1565,1554,Michigan,Town,NA,99.41,82.97,100.0,3,1,9,2,1,5,5,2,14,4.630845145372088,0.5003596195517346
Albright College,2019,1993,Pennsylvania,Small City,NA,99.73,93.78,100.0,4,2,9,2,1,5,6,3,14,2.2057294392082256,3.703024016819612
Alcorn State University,3169,2893,Mississippi,Rural,NA,100.0,100.0,100.0,25,11,55,13,5,29,38,16,84,33.42802770614062,4.045339307380061
Alderson Broaddus University,950,903,West Virginia,Town,private,62.12,29.21,89.31,1,0,1,0,0,1,1,0,2,0.11221767616573741,0.8563236927874693
Alfred University,1704,1600,New York,Town,NA,98.83,89.08,99.99,3,1,6,2,1,3,5,2,9,3.278261809833214,1.160473696982209
Alice Lloyd College,598,584,Kentucky,Rural,private,77.67,38.88,98.53,1,0,3,1,0,1,2,0,4,1.1911236034942756,0.3056077867725296
Allegheny College,1800,1752,Pennsylvania,Town,NA,99.11,88.62,100.0,3,1,7,2,1,4,5,2,11,1.6796087287085588,3.0287885394473992
Allen University,590,563,South CaroliNA,Midsize City,private,100.0,98.45,100.0,7,3,15,4,1,8,11,4,23,9.9244678197923,0.2667728612387998
Alma College,1427,1386,Michigan,Town,NA,99.27,80.99,100.0,3,1,9,2,1,5,5,2,14,4.630845145372088,0.2786421106181812
Alvernia University,2252,1670,Pennsylvania,Small City,NA,99.72,94.11,100.0,4,2,9,2,1,5,6,3,14,2.8294807970171094,3.034861694726201
Alverno College,1312,1036,Wisconsin,Large City,NA,51.12,29.96,79.26,0,0,1,0,0,1,0,0,2,0.4954323933676822,0.21838448651809286
American InterContinental University - Atlanta,1905,932,Georgia,Midsize City,private,99.51,65.97,100.0,3,1,14,2,0,8,5,1,22,4.1364038050485705,1.1786928776460632
American InterNAtioNAl College,1374,1254,Massachusetts,Midsize City,private,99.12,88.75,100.0,3,1,7,2,1,4,5,2,11,3.2199259743285595,1.5015604422485156
American Jewish University,68,63,California,Large City,NA,34.17,15.6,64.67,0,0,1,0,0,0,0,0,1,0.2953636635141748,0.12073918808932713
American Public University System,37910,2914,West Virginia,Town,NA,100.0,100.0,100.0,166,57,454,89,29,244,255,86,698,0.10832573363975807,254.4374605853011
American University,8124,7764,District of Columbia,Large City,NA,100.0,100.0,100.0,24,10,60,13,5,32,37,15,92,0.4247667798283949,36.464259912006334
Amherst College,1832,1836,Massachusetts,Suburb,private,99.99,97.57,100.0,6,2,14,3,1,8,9,3,22,0.9253623411269332,8.186321631603859
Amridge University,321,147,Alabama,Midsize City,NA,87.09,54.39,99.35,1,1,3,1,0,2,2,1,5,0.683039348560953,1.3538214257333712
Anderson University IndiaNA,1565,1431,IndiaNA,Small City,NA,98.94,88.17,100.0,3,1,7,2,1,4,5,2,11,3.174094876879973,1.3610441685873467
Anderson University South CaroliNA,2984,2550,South CaroliNA,Small City,private,100.0,100.0,100.0,34,14,77,18,7,42,52,21,119,49.49930850615416,2.465667935609095
Andrews University,1704,1344,Michigan,Town,NA,99.98,96.13,100.0,6,2,14,3,1,8,9,3,22,1.5265773547657804,7.0131142107841224
Angelo State University,8721,5332,Texas,Midsize City,NA,100.0,100.0,100.0,145,44,390,80,23,209,225,67,599,224.6735576162272,0.5109909928703551
AnNA Maria College,1121,866,Massachusetts,Rural,NA,98.22,84.91,99.98,3,1,6,1,1,3,4,2,9,3.714010844251537,0.3077517036982085
Antioch University - Seattle,90,17,Washington,Large City,NA,32.72,14.71,62.99,0,0,1,0,0,0,0,0,1,0.017171980620927275,0.3772268537653669
Appalachian State University,17014,16071,North CaroliNA,Town,public,100.0,100.0,100.0,19,7,49,10,4,26,29,11,75,15.220675597335623,13.682768568159895
AquiNAs College Michigan,1553,1317,Michigan,Midsize City,NA,99.4,82.46,100.0,3,1,9,2,1,5,5,2,14,4.855742702100975,0.2539417355479378
Arcadia University,2387,2177,Pennsylvania,Suburb,NA,99.86,95.03,100.0,4,2,11,2,1,6,6,3,17,2.527548980338606,4.037819151696184
ArizoNA Christian University,784,646,ArizoNA,Large City,NA,98.7,88.63,99.99,3,1,6,1,1,3,4,2,9,3.286956311087524,1.0418615581388382
ArizoNA State University - Tempe,42429,38814,ArizoNA,Midsize City,NA,100.0,100.0,100.0,147,73,326,76,37,169,223,110,495,143.84732188491648,79.30093892937033
Arkansas Baptist College,597,496,Arkansas,Midsize City,NA,94.19,62.52,99.94,2,1,5,1,0,3,3,1,8,0.39926028303887,2.426319857981746
Arkansas State University - Main Campus,9608,6894,Arkansas,Small City,public,100.0,98.46,100.0,10,3,27,5,1,14,15,4,41,9.92248599065296,5.01692166540468
Arkansas Tech University,10780,6729,Arkansas,Town,public,100.0,98.7,100.0,11,3,29,5,1,15,16,4,44,11.96855028170433,3.91873200552195
Armstrong State University,6283,4513,Georgia,Midsize City,public,100.0,96.26,100.0,11,2,47,6,1,27,17,3,74,14.706942218304333,2.6964059352570953
Asbury University,1731,1325,Kentucky,Town,NA,99.86,89.92,100.0,4,2,11,2,1,6,6,3,17,2.0977278037247364,4.424887257441324
