 ,0,0,na,na,na
Abilene Christian University,3669,3508,Texas,Midsize City,private
Adams State University,1956,1514,Colorado,Town,na
Adelphi University,5269,4874,New York,Suburb,private
Adrian College,1673,1606,Michigan,Town,private
Agnes Scott College,923,913,Georgia,Suburb,private
Alabama A & M University,5032,4714,Alabama,Midsize City,public
Alabama State University,4212,3866,Alabama,Midsize City,na
Alaska Pacific University,298,203,Alaska,Large City,private
Albany State University,6266,3927,Georgia,Small City,na
Albertus Magnus College,1130,1012,Connecticut,Midsize City,na
Albion College,1565,1554,Michigan,Town,na
Albright College,2019,1993,Pennsylvania,Small City,na
Alcorn State University,3169,2893,Mississippi,Rural,na
Alderson Broaddus University,950,903,West Virginia,Town,private
Alfred University,1704,1600,New York,Town,na
Alice Lloyd College,598,584,Kentucky,Rural,private
Allegheny College,1800,1752,Pennsylvania,Town,na
Allen University,590,563,South Carolina,Midsize City,private
Alma College,1427,1386,Michigan,Town,na
Alvernia University,2252,1670,Pennsylvania,Small City,na
Alverno College,1312,1036,Wisconsin,Large City,na
American InterContinental University - Atlanta,1905,932,Georgia,Midsize City,private
American International College,1374,1254,Massachusetts,Midsize City,private
American Jewish University,68,63,California,Large City,na
American Public University System,37910,2914,West Virginia,Town,na
American University,8124,7764,District of Columbia,Large City,na
Amherst College,1832,1836,Massachusetts,Suburb,private
Amridge University,321,147,Alabama,Midsize City,na
Anderson University Indiana,1565,1431,Indiana,Small City,na
Anderson University South Carolina,2984,2550,South Carolina,Small City,private
Andrews University,1704,1344,Michigan,Town,na
Angelo State University,8721,5332,Texas,Midsize City,na
Anna Maria College,1121,866,Massachusetts,Rural,na
Antioch University - Seattle,90,17,Washington,Large City,na
Appalachian State University,17014,16071,North Carolina,Town,public
Aquinas College Michigan,1553,1317,Michigan,Midsize City,na
Arcadia University,2387,2177,Pennsylvania,Suburb,na
Arizona Christian University,784,646,Arizona,Large City,na
Arizona State University - Tempe,42429,38814,Arizona,Midsize City,na
Arkansas Baptist College,597,496,Arkansas,Midsize City,na
Arkansas State University - Main Campus,9608,6894,Arkansas,Small City,public
Arkansas Tech University,10780,6729,Arkansas,Town,public
Armstrong State University,6283,4513,Georgia,Midsize City,public
Asbury University,1731,1325,Kentucky,Town,na
Ashford University,31543,31545,California,Large City,private
Ashland University,4812,3380,Ohio,Town,na
Assumption College,2085,1937,Massachusetts,Midsize City,private
Point University,1925,1119,Georgia,Town,na
Auburn University,23968,21762,Alabama,Small City,public
Auburn University at Montgomery,4312,3239,Alabama,Midsize City,na
Augsburg University,2428,2033,Minnesota,Large City,na
Augustana College,2650,2637,Illinois,Small City,na
Augustana University,1746,1679,South Dakota,Midsize City,na
Aurora University,3935,3461,Illinois,Suburb,private
Austin College,1218,1204,Texas,Small City,na
Austin Peay State University,9591,7065,Tennessee,Midsize City,na
Ave Maria University,1071,1035,Florida,Rural,na
Averett University,929,890,Virginia,Town,na
Averett University - Non - Traditional Programs,344,87,Virginia,Town,na
Avila University,1274,1077,Missouri,Large City,na
Azusa Pacific University,5674,5075,California,Suburb,private
Bacone College,936,864,Oklahoma,Town,private
Baker University,1774,1062,Kansas,Town,na
Baldwin Wallace University,3191,2958,Ohio,Suburb,na
Ball State University,17000,15203,Indiana,Small City,na
Bard College,1941,1862,New York,Town,na
Barnard College,2549,2514,New York,Large City,na
Barry University,3504,2991,Florida,Suburb,na
Barton College,888,830,North Carolina,Town,private
Bates College,1788,1787,Maine,Small City,na
Bay Path University,1946,1367,Massachusetts,Suburb,na
Baylor University,14311,14100,Texas,Midsize City,private
Beacon College,349,344,Florida,Suburb,private
Becker College,1885,1530,Massachusetts,Midsize City,private
Belhaven University,2479,1248,Mississippi,Midsize City,private
Bellarmine University,2539,2410,Kentucky,Large City,na
Bellevue University,5743,4919,Nebraska,Suburb,na
Belmont Abbey College,1552,1381,North Carolina,Suburb,private
Belmont University,6496,6161,Tennessee,Large City,na
Beloit College,1407,1346,Wisconsin,Small City,na
Bemidji State University,4819,3333,Minnesota,Town,na
Benedict College,2089,2077,South Carolina,Midsize City,na
Benedictine College,2080,1821,Kansas,Town,na
Benedictine University,2883,2473,Illinois,Suburb,private
Bennett College,490,400,North Carolina,Large City,private
Bennington College,775,724,Vermont,Town,na
Bentley University,4270,4171,Massachusetts,Small City,private
Berea College,1668,1615,Kentucky,Town,na
Berry College,1976,1945,Georgia,Suburb,private
Bethany College Kansas,777,710,Kansas,Town,na
Bethany College West Virginia,598,594,West Virginia,Rural,private
Bethany Lutheran College,651,522,Minnesota,Small City,na
Bethel College - Mishawaka,1330,1044,Indiana,Small City,na
Bethel College - North Newton,502,489,Kansas,Town,na
Bethel University Minnesota,2898,2407,Minnesota,Suburb,na
Bethel University Tennessee,4830,3454,Tennessee,Town,na
Bethune - Cookman University,3988,3755,Florida,Small City,private
Biola University,4047,3882,California,Suburb,private
Birmingham Southern College,1287,1272,Alabama,Midsize City,na
Black Hills State University,3951,2195,South Dakota,Town,na
Blackburn College,557,546,Illinois,Town,private
Bloomfield College,1839,1700,New Jersey,Suburb,na
Bloomsburg University of Pennsylvania,8578,7863,Pennsylvania,Small City,public
Blue Mountain College,590,531,Mississippi,Rural,na
Bluefield College,949,829,Virginia,Town,na
Bluefield State College,1380,1099,West Virginia,Town,na
Bluffton University,735,660,Ohio,Town,na
Boise State University,20744,12477,Idaho,Midsize City,public
Boston College,9924,9681,Massachusetts,Small City,private
Boston University,18086,16840,Massachusetts,Large City,private
Bowdoin College,1819,1813,Maine,Town,private
Bowie State University,5185,4389,Maryland,Suburb,na
Bowling Green State University - Main Campus,14679,13104,Ohio,Town,public
Bradley University,4645,4512,Illinois,Midsize City,na
Brandeis University,3630,3620,Massachusetts,Small City,na
Brenau University,1737,1080,Georgia,Small City,na
Brescia University,1177,715,Kentucky,Small City,na
Brevard College,673,656,North Carolina,Town,na
Brewton - Parker College,782,438,Georgia,Rural,na
Briar Cliff University,943,720,Iowa,Small City,na
Bridgewater College,1880,1876,Virginia,Suburb,private
Bridgewater State University,9562,7858,Massachusetts,Suburb,na
Brigham Young University - Hawaii,3138,2702,Hawaii,Town,private
Brigham Young University - Idaho,51883,17230,Idaho,Town,na
Brigham Young University - Provo,31232,28156,Utah,Midsize City,na
Brown University,6986,6666,Rhode Island,Midsize City,na
Bryan College - Dayton,1238,833,Tennessee,Town,na
Bryant University,3476,3418,Rhode Island,Suburb,private
Bryn Athyn College of the New Church,329,313,Pennsylvania,Suburb,private
Bryn Mawr College,1340,1325,Pennsylvania,Suburb,na
Bucknell University,3608,3585,Pennsylvania,Town,private
Buena Vista University,1805,1522,Iowa,Town,private
Butler University,4288,4182,Indiana,Large City,na
Cabrini University,1687,1479,Pennsylvania,Suburb,private
Caldwell University,1605,1440,New Jersey,Suburb,na
California Baptist University,7421,6367,California,Large City,na
California Institute of Technology,962,961,California,Midsize City,na
California Lutheran University,2968,2858,California,Midsize City,private
California State University Maritime Academy,1050,1007,California,Midsize City,na
California Polytechnic State University - San Luis Obispo,21348,20584,California,Suburb,na
California State Polytechnic University - Pomona,24318,21668,California,Suburb,na
California State University - Bakersfield,8816,7502,California,Large City,na
California State University - Channel Islands,7054,5858,California,Suburb,na
California State University - Chico,16709,15446,California,Small City,na
California State University - Dominguez Hills,13279,10084,California,Small City,na
California State University - East Bay,13473,11539,California,Midsize City,na
California State University - Fresno,22260,19432,California,Large City,na
California State University - Fullerton,35161,28475,California,Suburb,public
California State University - Long Beach,31564,27507,California,Large City,public
California State University - Los Angeles,24820,21004,California,Large City,public
California State University - Monterey Bay,6762,6109,California,Suburb,na
California State University - Northridge,35836,29739,California,Large City,na
California State University - Sacramento,28449,23491,California,Large City,public
California State University - San Bernardino,18324,16381,California,Midsize City,public
California State University - San Marcos,14616,11634,California,Suburb,na
California State University - Stanislaus,9058,7621,California,Suburb,na
California University of Pennsylvania,5553,4534,Pennsylvania,Suburb,public
Calumet College of Saint Joseph,624,427,Indiana,Suburb,private
Calvin College,3737,3524,Michigan,Midsize City,na
