 ,Abilene Christian University,Adams State University,Adelphi University,Adrian College,Agnes Scott College,Alabama A & M University,Alabama State University,Alaska Pacific University,Albany State University,Albertus Magnus College,Albion College,Albright College,Alcorn State University,Alderson Broaddus University,Alfred University,Alice Lloyd College,Allegheny College,Allen University,Alma College,Alvernia University,Alverno College,American InterContinental University - Atlanta,American International College,American Jewish University,American Public University System,American University,Amherst College,Amridge University,Anderson University Indiana,Anderson University South Carolina,Andrews University,Angelo State University,Anna Maria College,Antioch University - Seattle,Appalachian State University,Aquinas College Michigan,Arcadia University,Arizona Christian University,Arizona State University - Tempe,Arkansas Baptist College,Arkansas State University - Main Campus,Arkansas Tech University,Armstrong State University,Asbury University,Ashford University,Ashland University,Assumption College,Point University,Auburn University,Auburn University at Montgomery,Augsburg University,Augustana College,Augustana University,Aurora University,Austin College,Austin Peay State University,Ave Maria University,Averett University,Averett University - Non - Traditional Programs,Avila University,Azusa Pacific University,Bacone College,Baker University,Baldwin Wallace University,Ball State University,Bard College,Barnard College,Barry University,Barton College,Bates College,Bay Path University,Baylor University,Beacon College,Becker College,Belhaven University,Bellarmine University,Bellevue University,Belmont Abbey College,Belmont University,Beloit College,Bemidji State University,Benedict College,Benedictine College,Benedictine University,Bennett College,Bennington College,Bentley University,Berea College,Berry College,Bethany College Kansas,Bethany College West Virginia,Bethany Lutheran College,Bethel College - Mishawaka,Bethel College - North Newton,Bethel University Minnesota,Bethel University Tennessee,Bethune - Cookman University,Biola University,Birmingham Southern College,Black Hills State University,Blackburn College,Bloomfield College,Bloomsburg University of Pennsylvania,Blue Mountain College,Bluefield College,Bluefield State College,Bluffton University,Boise State University,Boston College,Boston University,Bowdoin College,Bowie State University,Bowling Green State University - Main Campus,Bradley University,Brandeis University,Brenau University,Brescia University,Brevard College,Brewton - Parker College,Briar Cliff University,Bridgewater College,Bridgewater State University,Brigham Young University - Hawaii,Brigham Young University - Idaho,Brigham Young University - Provo,Brown University,Bryan College - Dayton,Bryant University,Bryn Athyn College of the New Church,Bryn Mawr College,Bucknell University,Buena Vista University,Butler University,Cabrini University,Caldwell University,California Baptist University,California Institute of Technology,California Lutheran University,California State University Maritime Academy,California Polytechnic State University - San Luis Obispo,California State Polytechnic University - Pomona,California State University - Bakersfield,California State University - Channel Islands,California State University - Chico,California State University - Dominguez Hills,California State University - East Bay,California State University - Fresno,California State University - Fullerton,California State University - Long Beach,California State University - Los Angeles,California State University - Monterey Bay,California State University - Northridge,California State University - Sacramento,California State University - San Bernardino,California State University - San Marcos,California State University - Stanislaus,California University of Pennsylvania,Calumet College of Saint Joseph,Calvin College,Cambridge College,Cameron University,Campbell University,Campbellsville University,Canisius College,Capella University,Capital University,Cardinal Stritch University,Carleton College,Carlos Albizu University - Miami,Carlow University,Carnegie Mellon University,Carroll College,Carroll University,Carson - Newman University,Carthage College,Case Western Reserve University,Castleton University,Catawba College,Catholic University of America,Cazenovia College,Cedar Crest College,Cedarville University,Centenary University,Centenary College of Louisiana,Central Baptist College,Central Christian College of Kansas,Central College,Central Connecticut State University,Central Methodist University - College of Liberal Arts & Sciences,Central Michigan University,Central Penn College,Central State University,Central Washington University,Centre College,Chadron State College,Chaminade University of Honolulu,Champlain College,Chapman University,Charleston Southern University,Chatham University,Chestnut Hill College,Cheyney University of Pennsylvania,Chicago State University,Chowan University,Christian Brothers University,Christopher Newport University,Citadel Military College of South Carolina,City University of Seattle,Claflin University,Claremont McKenna College,Clarion University of Pennsylvania,Clark Atlanta University,Clark University,Clarke University,Clarkson University,Clayton State University,Clemson University,Cleveland State University,Coastal Carolina University,Coe College,Cogswell College,Coker College,Colby College,Colby - Sawyer College,Colgate University,College of Charleston,College of Mount Saint Vincent,Mount St. Joseph University,Notre Dame of Maryland University,College of Our Lady of the Elms,College of Saint Benedict,College of Saint Elizabeth,College of Saint Mary,Northeast Catholic College,College of the Atlantic,College of the Holy Cross,College of the Ozarks,College of William and Mary,Colorado Christian University,Colorado College,Colorado School of Mines,Colorado State University - Fort Collins,Colorado State University - Pueblo,Colorado Technical University - Colorado Springs,Columbia College Chicago,Columbia College Missouri,Columbia College South Carolina,Columbia International University,Columbia Southern University,Columbia University in the City of New York,Columbus State University,Concord University,Concordia College at Moorhead,Concordia College - New York,Concordia University - Ann Arbor,Concordia University - Chicago,Concordia University - Irvine,Concordia University - Portland,Concordia University - Saint Paul,Concordia University - Nebraska,Concordia University - Texas,Concordia University - Wisconsin,Connecticut College,Converse College,Cooper Union for the Advancement of Science and Art,Coppin State University,Corban University,Cornell College,Cornell University,Cornerstone University,Covenant College,Creighton University,Crown College,Culver - Stockton College,Cumberland University,CUNY Bernard M Baruch College,CUNY Brooklyn College,CUNY City College,College of Staten Island CUNY,CUNY Graduate School and University Center,CUNY Hunter College,CUNY John Jay College of Criminal Justice,
Alabama,0,0,6.0,4.0,27.0,3236.0,2662.0,0,14.0,0,0,0,16.0,0,3.0,0,3.0,0,0,0,0,19.0,0,0,975.0,12.0,0,161.0,0,12.0,5.0,0,0,0,30.0,4.0,4.0,0,18.0,8.0,35.0,6.0,5.0,19.0,937.0,0,0,42.0,13417.0,4038.0,6.0,0,0,0,4.0,17.0,0,0,0,0,0,4.0,0,5.0,0,0,14.0,0,4.0,4.0,0,40.0,0,0,183.0,0,232.0,5.0,115.0,0,0,12.0,5.0,5.0,2.0,5.0,0,95.0,68.0,0,0,0,0,0,0,78.0,13.0,5.0,722.0,0,0,0,0,21.0,0,0,0,0,19.0,19.0,0,8.0,0,0,0,39.0,0,14.0,0,0,0,0,0,147.0,101.0,21.0,27.0,0,0,5.0,4.0,0,0,0,0,0,5.0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,5.0,15.0,0,574.0,0,0,18.0,0,0,0,0,0,16.0,0,11.0,0,0,3.0,0,0,8.0,0,3.0,0,0,0,0,0,0,0,0,0,8.0,0,10.0,6.0,0,10.0,0,0,3.0,0,6.0,13.0,0,9.0,0,5.0,5.0,0,20.0,0,0,4.0,0,59.0,0,15.0,4.0,0,6.0,0,0,7.0,70.0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,8.0,6.0,23.0,0,0,3.0,377.0,0,0,906.0,26.0,206.0,0,3.0,0,0,0,0,0,0,0,0,14.0,0,6.0,0,0,0,0,10.0,5.0,76.0,0,0,5.0,51.0,0,0,0,0,0,0,0,
Alaska,4.0,7.0,0,0,0,9.0,0,136.0,0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.0,6.0,0,0,3.0,0,11.0,6.0,0,0,0,0,4.0,0,82.0,2.0,6.0,6.0,0,0,54.0,0,0,0,24.0,9.0,0,4.0,0,0,4.0,0,13.0,0,0,0,0,0,0,9.0,4.0,0,0,0,8.0,8.0,0,9.0,0,0,0,0,0,0,6.0,0,11.0,0,5.0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,13.0,14.0,4.0,11.0,0,0,0,0,0,0,0,209.0,5.0,5.0,8.0,0,11.0,0,0,0,0,0,0,0,0,0,15.0,368.0,170.0,16.0,0,0,0,0,0,0,0,0,0,29.0,0,6.0,19.0,19.0,0,0,0,9.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,0,0,0,0,0,0,0,0,9.0,0,0,10.0,8.0,0,0,0,0,7.0,0,0,0,0,13.0,0,0,0,0,3.0,0,0,0,0,0,73.0,0,33.0,5.0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,4.0,4.0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,19.0,0,0,6.0,0,0,0,0,19.0,29.0,23.0,86.0,18.0,0,7.0,0,0,0,50.0,6.0,0,0,0,0,0,0,0,25.0,26.0,0,0,0,0,0,0,5.0,24.0,3.0,41.0,0,0,4.0,0,0,0,0,13.0,0,0,0,0,0,
Arizona,8.0,65.0,0,0,0,9.0,0,0,7.0,0,4.0,0,0,0,0,0,3.0,0,4.0,0,0,0,4.0,0,454.0,75.0,29.0,0,0,12.0,5.0,6.0,0,0,0,4.0,0,650.0,28446.0,0,0,0,5.0,19.0,523.0,0,0,0,35.0,5.0,6.0,7.0,0,31.0,4.0,6.0,13.0,4.0,0,15.0,211.0,0,9.0,9.0,4.0,9.0,5.0,0,0,0,0,58.0,0,0,0,4.0,0,10.0,26.0,0,6.0,0,44.0,21.0,0,10.0,5.0,0,9.0,0,2.0,4.0,0,4.0,5.0,0,0,61.0,4.0,0,0,0,0,0,0,0,3.0,151.0,32.0,61.0,8.0,0,4.0,4.0,18.0,0,0,0,0,44.0,0,0,111.0,1816.0,1312.0,43.0,0,0,0,9.0,8.0,7.0,0,0,0,57.0,19.0,94.0,0,81.0,0,9.0,0,9.0,0,12.0,17.0,0,40.0,0,16.0,7.0,10.0,0,0,0,4.0,0,22.0,0,0,0,0,7.0,30.0,0,7.0,40.0,0,0,41.0,12.0,4.0,4.0,0,22.0,0,0,3.0,0,0,4.0,0,0,0,11.0,12.0,7.0,0,0,0,4.0,0,4.0,11.0,30.0,0,176.0,0,0,0,0,0,0,0,0,0,0,0,49.0,0,12.0,4.0,9.0,4.0,0,7.0,10.0,5.0,8.0,0,0,0,0,4.0,35.0,0,0,7.0,0,4.0,0,0,0,0,4.0,0,14.0,170.0,21.0,56.0,177.0,18.0,0,33.0,0,0,5.0,151.0,84.0,0,0,3.0,0,0,0,30.0,6.0,0,6.0,0,7.0,8.0,0,0,0,10.0,25.0,83.0,0,12.0,60.0,14.0,0,0,0,0,0,0,0,0,0,
Arkansas,8.0,0,0,0,8.0,4.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,345.0,8574.0,10342.0,5.0,6.0,196.0,7.0,0,0,71.0,0,0,4.0,0,0,8.0,0,0,4.0,0,0,0,18.0,9.0,0,9.0,0,5.0,0,0,4.0,0,93.0,0,0,41.0,0,0,0,51.0,0,0,0,33.0,0,0,0,0,4.0,3.0,0,0,0,0,0,0,13.0,0,0,0,0,4.0,0,0,14.0,0,0,0,0,5.0,9.0,4.0,0,4.0,0,12.0,0,0,0,0,0,0,0,0,147.0,88.0,11.0,5.0,0,0,5.0,4.0,0,0,0,0,10.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,4.0,5.0,0,0,30.0,0,0,4.0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,4.0,0,11.0,634.0,0,0,0,0,0,0,0,0,8.0,0,5.0,0,6.0,0,0,0,0,0,0,39.0,0,9.0,0,0,0,0,4.0,0,0,0,0,7.0,0,5.0,0,0,0,9.0,0,0,5.0,0,0,0,0,0,0,0,0,0,4.0,181.0,0,75.0,8.0,11.0,6.0,5.0,0,3.0,27.0,0,0,101.0,19.0,0,0,0,0,0,5.0,0,0,0,0,7.0,0,0,0,4.0,0,0,3.0,10.0,0,8.0,0,0,5.0,0,0,0,0,0,0,0,0,
California,84.0,34.0,35.0,4.0,12.0,31.0,58.0,0,14.0,7.0,4.0,5.0,16.0,7.0,20.0,0,77.0,2.0,8.0,0,0,5.0,4.0,50.0,2470.0,557.0,237.0,0,3.0,12.0,108.0,12.0,4.0,27.0,18.0,7.0,9.0,63.0,5181.0,2.0,6.0,6.0,10.0,13.0,1493.0,0,14.0,0,141.0,19.0,12.0,7.0,18.0,63.0,12.0,6.0,40.0,16.0,0,84.0,4244.0,50.0,68.0,14.0,18.0,307.0,395.0,49.0,0,73.0,0,404.0,0,9.0,71.0,4.0,139.0,31.0,122.0,38.0,11.0,53.0,76.0,5.0,31.0,124.0,62.0,17.0,3.0,10.0,0,0,14.0,0,21.0,13.0,71.0,3070.0,7.0,11.0,0,0,0,0,18.0,0,0,1726.0,726.0,1986.0,139.0,8.0,31.0,66.0,242.0,0,0,7.0,0,20.0,0,0,652.0,8172.0,3672.0,1254.0,11.0,46.0,5.0,160.0,206.0,28.0,54.0,5.0,6.0,6853.0,322.0,2461.0,878.0,19094.0,24149.0,8719.0,7054.0,16392.0,13214.0,13257.0,22087.0,35017.0,31212.0,24680.0,6633.0,35605.0,28213.0,18244.0,14556.0,9022.0,8.0,0,143.0,0,4.0,16.0,15.0,7.0,151.0,4.0,0,216.0,0,0,776.0,48.0,0,0,23.0,173.0,0,0,83.0,4.0,0,46.0,10.0,6.0,0,11.0,15.0,7.0,14.0,21.0,0,7.0,66.0,17.0,16.0,219.0,36.0,4726.0,24.0,37.0,6.0,1.0,4.0,15.0,6.0,4.0,50.0,0,15.0,625.0,6.0,305.0,94.0,18.0,36.0,11.0,124.0,10.0,30.0,16.0,534.0,0,125.0,14.0,195.0,65.0,9.0,0,0,0,26.0,0,9.0,6.0,39.0,96.0,6.0,113.0,414.0,222.0,164.0,856.0,204.0,75.0,167.0,377.0,7.0,9.0,554.0,1176.0,0,0,12.0,10.0,8.0,19.0,1485.0,92.0,53.0,25.0,14.0,14.0,108.0,6.0,54.0,5.0,135.0,56.0,1393.0,0,32.0,193.0,14.0,11.0,0,0,13.0,10.0,0,0,39.0,0,
Colorado,80.0,1565.0,6.0,4.0,4.0,0,4.0,6.0,0,0,4.0,0,5.0,7.0,0,0,6.0,0,0,0,0,0,0,0,1242.0,122.0,33.0,0,7.0,0,32.0,12.0,0,3.0,6.0,0,9.0,10.0,832.0,2.0,6.0,6.0,0,6.0,381.0,15.0,0,0,53.0,0,6.0,43.0,31.0,16.0,12.0,11.0,7.0,0,0,0,202.0,7.0,34.0,0,13.0,5.0,10.0,6.0,0,27.0,9.0,355.0,17.0,0,71.0,13.0,139.0,10.0,77.0,24.0,6.0,0,152.0,0,7.0,0,5.0,4.0,0,107.0,4.0,12.0,10.0,36.0,31.0,0,18.0,52.0,4.0,184.0,0,0,0,0,0,0,0,201.0,69.0,154.0,26.0,8.0,11.0,8.0,18.0,0,0,0,0,32.0,0,0,89.0,2307.0,984.0,59.0,5.0,23.0,5.0,23.0,29.0,28.0,25.0,0,0,76.0,5.0,39.0,13.0,298.0,12.0,9.0,0,27.0,0,24.0,17.0,0,32.0,13.0,0,7.0,31.0,10.0,0,9.0,0,0,58.0,0,9.0,0,8.0,0,30.0,8.0,0,49.0,0,7.0,56.0,44.0,4.0,4.0,19.0,54.0,0,0,10.0,0,0,63.0,0,3.0,5.0,32.0,12.0,0,0,17.0,0,0,7.0,4.0,224.0,30.0,12.0,202.0,10.0,18.0,6.0,0,0,0,0,4.0,23.0,0,10.0,34.0,3.0,20.0,21.0,4.0,9.0,0,46.0,0,25.0,72.0,0,0,26.0,0,52.0,35.0,0,0,0,0,38.0,0,0,0,0,20.0,0,33.0,3108.0,435.0,3169.0,20853.0,4059.0,21705.0,56.0,175.0,0,0,252.0,52.0,10.0,0,12.0,0,0,0,42.0,6.0,26.0,123.0,14.0,35.0,12.0,0,0,5.0,15.0,50.0,145.0,0,12.0,347.0,22.0,11.0,0,0,13.0,0,0,0,0,0,
Connecticut,4.0,0,123.0,4.0,4.0,0,4.0,0,7.0,951.0,4.0,9.0,0,0,17.0,0,12.0,2.0,0,0,0,0,227.0,0,147.0,313.0,100.0,0,0,36.0,27.0,0,86.0,0,12.0,4.0,83.0,0,128.0,0,0,0,0,0,185.0,0,312.0,0,76.0,0,0,0,0,8.0,0,6.0,13.0,0,0,0,0,0,0,5.0,0,101.0,100.0,12.0,4.0,162.0,382.0,13.0,0,228.0,0,0,0,5.0,51.0,9.0,0,24.0,0,0,0,57.0,482.0,0,6.0,0,0,0,0,0,0,0,9.0,9.0,0,0,0,0,8.0,7.0,0,0,0,17.0,819.0,1091.0,154.0,42.0,19.0,4.0,200.0,0,0,0,0,0,7.0,66.0,7.0,196.0,151.0,300.0,5.0,786.0,0,32.0,333.0,0,17.0,25.0,0,0,9.0,0,0,19.0,0,0,0,0,0,12.0,0,0,0,0,0,0,21.0,0,0,0,4.0,0,13.0,4.0,0,16.0,0,7.0,0,0,0,45.0,0,0,184.0,0,0,0,0,65.0,146.0,0,148.0,4.0,31.0,25.0,26.0,0,0,0,0,9107.0,0,4.0,0,0,0,4.0,0,5.0,577.0,32.0,24.0,18.0,31.0,6.0,4.0,3.0,0,0,14.0,0,0,15.0,6.0,35.0,200.0,0,85.0,0,209.0,0,224.0,0,18.0,0,172.0,66.0,243.0,373.0,18.0,0,7.0,193.0,0,0,0,0,19.0,285.0,0,141.0,0,92.0,6.0,29.0,0,0,62.0,13.0,0,0,50.0,266.0,0,0,0,50.0,0,0,0,0,0,0,0,0,313.0,0,25.0,19.0,0,9.0,456.0,5.0,0,13.0,7.0,0,0,0,13.0,0,0,0,77.0,0,
Delaware,0,0,0,0,0,0,0,0,0,0,4.0,23.0,0,0,3.0,0,6.0,2.0,0,41.0,0,0,0,0,174.0,29.0,4.0,0,0,0,0,0,0,0,6.0,0,31.0,0,23.0,0,0,0,0,0,65.0,0,0,0,12.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,4.0,0,4.0,0,0,0,0,0,0,13.0,0,0,17.0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,13.0,0,4.0,0,0,0,8.0,0,9.0,0,0,0,19.0,37.0,4.0,0,0,0,6.0,0,0,3.0,0,0,7.0,0,0,25.0,44.0,16.0,0,0,5.0,9.0,12.0,0,0,75.0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,30.0,0,0,9.0,0,0,20.0,0,0,0,0,0,0,0,31.0,4.0,31.0,17.0,5.0,0,0,0,0,0,0,0,7.0,0,0,4.0,0,0,12.0,0,5.0,0,19.0,24.0,0,3.0,0,18.0,5.0,0,5.0,0,3.0,16.0,0,0,0,0,39.0,0,149.0,0,0,0,0,0,4.0,35.0,0,0,0,0,0,0,0,0,0,4.0,0,19.0,0,4.0,0,0,0,0,3.0,0,0,0,50.0,39.0,0,7.0,0,10.0,0,0,0,6.0,0,0,0,0,4.0,0,0,14.0,0,0,52.0,0,0,0,0,5.0,0,0,0,0,0,0,10.0,0,
District of Columbia,0,0,0,0,0,0,0,0,7.0,0,0,9.0,0,0,0,0,0,2.0,0,0,0,0,0,0,187.0,174.0,21.0,0,0,0,0,0,0,3.0,0,0,0,0,18.0,2.0,0,0,0,0,65.0,7.0,0,0,6.0,5.0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,5.0,0,14.0,24.0,43.0,0,27.0,0,0,33.0,0,0,0,0,0,0,14.0,0,60.0,0,0,62.0,0,0,0,0,0,2.0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,23.0,47.0,19.0,158.0,0,0,0,0,0,0,0,0,3.0,0,0,25.0,0,48.0,0,0,0,14.0,16.0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,5.0,0,0,0,0,0,9.0,0,0,31.0,0,0,0,0,11.0,0,0,28.0,4.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,16.0,0,9.0,0,4.0,0,0,15.0,0,0,66.0,0,0,0,0,7.0,0,0,0,0,6.0,9.0,3.0,11.0,40.0,0,0,7.0,0,0,0,0,0,0,0,0,33.0,0,8.0,0,17.0,0,0,23.0,0,0,0,0,26.0,0,7.0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,65.0,0,0,31.0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,
Florida,11.0,0,18.0,7.0,31.0,49.0,196.0,12.0,62.0,0,0,0,16.0,0,3.0,0,9.0,4.0,0,0,0,9.0,15.0,0,2297.0,244.0,104.0,80.0,27.0,60.0,124.0,6.0,4.0,0,224.0,0,0,0,169.0,48.0,18.0,0,29.0,44.0,1743.0,22.0,32.0,42.0,1752.0,28.0,18.0,0,0,8.0,0,29.0,482.0,83.0,0,0,5.0,39.0,43.0,18.0,31.0,23.0,43.0,2211.0,4.0,12.0,9.0,62.0,99.0,5.0,305.0,4.0,46.0,51.0,211.0,19.0,11.0,45.0,44.0,5.0,0,10.0,119.0,21.0,117.0,0,29.0,0,0,0,5.0,325.0,2698.0,9.0,65.0,0,0,0,0,0,27.0,5.0,3.0,25.0,315.0,508.0,49.0,0,27.0,4.0,115.0,0,0,59.0,124.0,12.0,0,7.0,7.0,491.0,259.0,252.0,49.0,14.0,0,37.0,33.0,0,29.0,0,0,19.0,42.0,0,0,6.0,0,9.0,0,0,13.0,0,0,18.0,8.0,0,0,0,10.0,0,12.0,9.0,8.0,0,54.0,0,9.0,54.0,45.0,7.0,574.0,8.0,0,9.0,376.0,7.0,189.0,0,0,76.0,0,92.0,4.0,27.0,93.0,0,0,38.0,10.0,0,5.0,21.0,9.0,14.0,3.0,13.0,0,7.0,0,17.0,11.0,40.0,30.0,69.0,130.0,0,31.0,1.0,8.0,50.0,13.0,0,206.0,0,44.0,10.0,6.0,137.0,17.0,4.0,13.0,34.0,450.0,10.0,20.0,16.0,0,78.0,4.0,3.0,64.0,209.0,9.0,24.0,7.0,6.0,0,0,9.0,0,5.0,36.0,0,75.0,38.0,4.0,0,57.0,14.0,0,69.0,1185.0,33.0,24.0,1409.0,364.0,15.0,17.0,3.0,10.0,8.0,63.0,12.0,6.0,0,18.0,7.0,104.0,12.0,40.0,58.0,9.0,0,12.0,471.0,10.0,91.0,9.0,7.0,11.0,13.0,0,39.0,10.0,0,0,29.0,0,
