 ,Lincoln Memorial University,Lincoln University California,Lincoln University Missouri,Lincoln University of Pennsylvania,Lindenwood University,Lindsey Wilson College,Linfield College - McMinnville Campus,Lipscomb University,Livingstone College,Lock Haven University,LIU Brooklyn,LIU Post,Longwood University,Loras College,Louisiana College,Louisiana State University - Alexandria,Louisiana State University and Agricultural & Mechanical College,Louisiana State University - Shreveport,Louisiana Tech University,Lourdes University,Loyola Marymount University,Loyola University Maryland,Loyola University Chicago,Loyola University New Orleans,Lubbock Christian University,Luther College,Lycoming College,University of Lynchburg,Lyndon State College,Lynn University,Lyon College,Macalester College,Madonna University,Maharishi University of Management,Maine Maritime Academy,Malone University,Manchester University,Manhattan College,Manhattanville College,Mansfield University of Pennsylvania,Maranatha Baptist University,Marian University Indiana,Marian University Wisconsin,Marietta College,Marist College,Marquette University,Mars Hill University,Marshall University,Martin Luther College,Martin Methodist College,Martin University,Mary Baldwin University,Marymount Manhattan College,Marymount University,Maryville College,Maryville University of Saint Louis,Marywood University,Massachusetts College of Liberal Arts,Massachusetts Institute of Technology,Massachusetts Maritime Academy,Mayville State University,McDaniel College,McKendree University,McMurry University,McNeese State University,McPherson College,Medaille College,Menlo College,Mercer University,Mercy College,Mercyhurst University,Meredith College,Merrimack College,Colorado Mesa University,Messiah College,Methodist University,Metropolitan College of New York,Metropolitan State University of Denver,Metropolitan State University,Miami University - Oxford,Michigan State University,Michigan Technological University,Mid - America Christian University,Mid - Atlantic Christian University,MidAmerica Nazarene University,Middle Tennessee State University,Middlebury College,Midland University,Midway University,Midwestern State University,Miles College,Millersville University of Pennsylvania,Millikin University,Mills College,Millsaps College,Milwaukee School of Engineering,Minnesota State University - Mankato,Minnesota State University - Moorhead,Minot State University,Misericordia University,Mississippi College,Mississippi State University,Mississippi University for Women,Mississippi Valley State University,Missouri Baptist University,Missouri Southern State University,Missouri State University - Springfield,Missouri Valley College,Missouri Western State University,Mitchell College,Molloy College,Monmouth College,Monmouth University,Montana State University,Montana State University - Billings,Montana State University - Northern,Montana Tech of the University of Montana,Montclair State University,Montreat College,Moravian College,Morehead State University,Morehouse College,Morgan State University,Morningside College,Morris College,Mount Aloysius College,Mount Holyoke College,Mount Marty College,Mount Mary University,Mount Mercy University,University of Mount Olive,Mount Saint Mary College,Mount Saint Mary's University,Mount St Mary's University,Mount Vernon Nazarene University,Muhlenberg College,Murray State University,Muskingum University,Naropa University,National Louis University,National University,Nazareth College,Nebraska Wesleyan University,Neumann University,Nevada State College,New College of Florida,New England College,New Jersey City University,New Jersey Institute of Technology,New Mexico Highlands University,New Mexico Institute of Mining and Technology,New Mexico State University - Main Campus,New York Institute of Technology,New York University,Newberry College,Newman University,Niagara University,Nicholls State University,Nichols College,Norfolk State University,North Carolina A & T State University,North Carolina Central University,North Carolina State University,North Carolina Wesleyan College,North Central College,North Central University,North Dakota State University - Main Campus,North Greenville University,North Park University,Northcentral University,Northeastern Illinois University,Northeastern State University,Northeastern University,Northern Arizona University,Northern Illinois University,Northern Kentucky University,Northern Michigan University,Northern State University,Northland College,Northwest Christian University,Northwest Missouri State University,Northwest Nazarene University,Northwest University,Northwestern College - 2,University of Northwestern - St Paul,Northwestern Oklahoma State University,Northwestern State University of Louisiana,Northwestern University,Norwich University,Notre Dame College,Notre Dame de Namur University,Nova Southeastern University,Nyack College,Oakland City University,Oakland University,Oakwood University,Oberlin College,Occidental College,Oglethorpe University,Ohio Christian University,Ohio Dominican University,Ohio Northern University,Ohio State University - Lima Campus,Ohio State University - Main Campus,Ohio State University - Newark Campus,Ohio University - Main Campus,Ohio Valley University,Ohio Wesleyan University,Oklahoma Baptist University,Oklahoma Christian University,Oklahoma City University,Oklahoma Panhandle State University,Oklahoma State University - Main Campus,Oklahoma Wesleyan University,Old Dominion University,Olivet College,Olivet Nazarene University,Oral Roberts University,Oregon Institute of Technology,Oregon State University,Ottawa University - Online,Ottawa University - Ottawa,Otterbein University,Ouachita Baptist University,University of Holy Cross,Our Lady of the Lake University,Pace University - New York,Pacific Lutheran University,Pacific Union College,Pacific University,Paine College,Palm Beach Atlantic University,Park University,Paul Quinn College,Paul Smiths College of Arts and Science,William Peace University,Peirce College,Pennsylvania State University - Brandywine,Pennsylvania State University - University Park,Pennsylvania State University - Abington,Pennsylvania State University - Altoona,Pennsylvania State University - Beaver,Pennsylvania State University - Berks,Pennsylvania State University - Erie - Behrend College,Pennsylvania State University - Greater Allegheny,Pennsylvania State University - Harrisburg,Pennsylvania State University - Lehigh Valley,Pennsylvania State University - New Kensington,Pennsylvania State University - Schuylkill,Pennsylvania State University - Shenango,Pennsylvania State University - Wilkes - Barre,Pennsylvania State University - Worthington Scranton,Pennsylvania State University - York,Pepperdine University,Peru State College,Pfeiffer University,Cairn University,Thomas Jefferson University,Philander Smith College,Piedmont College,University of Pikeville,Pine Manor College,Pittsburg State University,Pitzer College,Platt College - Aurora,Plymouth State University,Point Loma Nazarene University,Point Park University,Pomona College,Portland State University,Post University,University of the Potomac - VA Campus,Prairie View A & M University,Pratt Institute - Main,Presbyterian College,Prescott College,Presentation College,Princeton University,Principia College,Providence Christian College,Providence College,Purdue University - Main Campus,Queens University of Charlotte,Quincy University,Quinnipiac University,Radford University,Ramapo College of New Jersey,Randolph College,Randolph - Macon College,Reed College,Regent University,Regis University,Reinhardt University,
Alabama,0,0,0,0,8.0,0,0,77.0,0,0,0,0,0,0,3.0,0,279.0,0,14.0,0,0,0,11.0,57.0,0,0,0,0,0,0,3.0,5.0,0,0,4.0,4.0,0,0,0,0,9.0,0,0,0,0,4.0,9.0,0,0,61.0,0,4.0,9.0,0,32.0,0,0,0,20.0,0,0,0,0,0,11.0,0,0,0,70.0,0,0,0,0,5.0,0,8.0,0,0,0,0,6.0,0,11.0,0,0,46.0,10.0,0,0,0,892.0,0,0,0,35.0,0,0,0,0,0,285.0,1481.0,294.0,21.0,0,294.0,15.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,52.0,5.0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,19.0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,19.0,4.0,15.0,5.0,24.0,0,5.0,10.0,0,16.0,0,0,0,5.0,5.0,0,0,0,0,0,0,5.0,5.0,9.0,8.0,0,0,0,0,0,0,0,14.0,0,31.0,5.0,0,0,0,18.0,0,0,260.0,8.0,0,39.0,21.0,0,0,2.0,52.0,0,0,6.0,0,0,5.0,4.0,0,0,0,0,0,5.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,8.0,0,0,0,0,4.0,0,0,0,0,0,0,0,12.0,0,0,22.0,0,5.0,6.0,0,0,0,14.0,0,0,0,11.0,0,0,0,0,0,0,0,0,35.0,0,0,
Alaska,0,0,0,0,23.0,0,12.0,0,0,0,0,0,0,0,0,0,9.0,8.0,0,0,15.0,0,6.0,0,0,3.0,0,0,0,0,0,14.0,0,0,4.0,0,0,0,0,3.0,5.0,0,5.0,0,5.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,78.0,0,6.0,0,0,0,0,0,0,6.0,0,0,0,80.0,4.0,0,0,8.0,0,0,12.0,0,0,0,17.0,5.0,10.0,0,0,0,0,0,0,0,0,0,16.0,8.0,7.0,0,0,0,0,0,0,0,8.0,9.0,0,0,0,0,0,353.0,22.0,6.0,5.0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,12.0,0,0,0,0,0,0,0,0,0,9.0,35.0,0,25.0,4.0,0,0,0,0,0,0,0,10.0,0,0,4.0,0,0,11.0,0,0,0,11.0,243.0,0,0,4.0,8.0,0,8.0,4.0,33.0,5.0,0,7.0,0,0,26.0,23.0,5.0,0,0,0,0,0,0,0,7.0,0,10.0,0,0,0,0,0,0,0,0,0,0,9.0,4.0,6.0,0,0,0,0,0,54.0,131.0,0,0,0,0,0,0,0,70.0,0,20.0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,17.0,0,0,0,0,0,0,0,0,0,14.0,184.0,44.0,0,0,0,0,0,0,9.0,4.0,0,0,0,0,0,0,5.0,0,0,0,4.0,18.0,0,0,
Arizona,0,0,0,0,30.0,0,3.0,5.0,0,0,0,0,0,10.0,0,0,19.0,0,0,0,164.0,4.0,89.0,21.0,18.0,10.0,0,0,0,0,3.0,24.0,0,8.0,0,0,6.0,0,0,3.0,5.0,0,0,3.0,0,31.0,0,0,22.0,0,0,0,4.0,0,0,9.0,0,4.0,69.0,0,0,0,0,0,11.0,0,0,22.0,0,0,0,0,0,118.0,0,0,0,32.0,0,20.0,35.0,0,11.0,0,12.0,5.0,21.0,15.0,0,0,0,0,0,4.0,0,0,5.0,4.0,7.0,0,0,0,0,0,47.0,0,8.0,13.0,4.0,0,0,3.0,0,40.0,0,9.0,0,0,0,0,0,4.0,11.0,19.0,0,0,33.0,0,0,0,0,0,5.0,0,0,0,6.0,0,0,0,23.0,0,0,4.0,0,0,0,0,9.0,68.0,13.0,197.0,0,169.0,4.0,0,0,9.0,0,5.0,0,0,16.0,0,10.0,4.0,5.0,0,11.0,3.0,0,6.0,40.0,18454.0,0,0,4.0,63.0,0,8.0,0,33.0,0,6.0,15.0,5.0,0,49.0,47.0,0,13.0,6.0,0,0,0,8.0,15.0,47.0,0,10.0,4.0,4.0,0,89.0,0,6.0,0,19.0,11.0,19.0,17.0,12.0,42.0,31.0,8.0,0,5.0,43.0,0,109.0,0,4.0,0,0,0,9.0,20.0,16.0,4.0,12.0,0,0,0,0,2.0,0,0,0,49.0,0,0,0,3.0,0,0,9.0,0,0,0,0,0,0,0,56.0,17.0,0,6.0,0,0,0,0,3.0,0,12.0,0,0,112.0,0,36.0,107.0,36.0,0,9.0,31.0,0,42.0,0,52.0,4.0,10.0,7.0,63.0,5.0,0,0,0,0,5.0,0,13.0,0,83.0,0,
Arkansas,6.0,0,13.0,0,23.0,0,0,14.0,0,0,0,0,0,0,0,0,104.0,8.0,215.0,0,0,0,17.0,18.0,4.0,0,0,0,0,0,545.0,10.0,0,0,0,0,0,0,0,0,5.0,0,0,3.0,0,0,0,0,0,0,0,0,4.0,0,0,9.0,4.0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,22.0,0,6.0,15.0,0,15.0,0,0,0,0,0,0,8.0,0,0,0,0,0,20.0,171.0,0,10.0,0,0,369.0,4.0,4.0,0,0,3.0,0,0,0,0,0,0,0,0,0,22.0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,4.0,0,0,0,0,0,0,0,5.0,0,0,0,12.0,0,0,0,6.0,0,15.0,0,5.0,0,0,0,0,5.0,0,0,4.0,5.0,0,0,3.0,0,128.0,0,7.0,0,0,0,0,0,0,4.0,0,0,6.0,0,0,17.0,18.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,15.0,0,12.0,0,0,43.0,75.0,48.0,4.0,168.0,12.0,0,0,5.0,77.0,0,0,0,0,0,834.0,0,0,5.0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,334.0,0,0,0,22.0,0,0,0,0,6.0,0,0,22.0,0,14.0,0,0,0,0,9.0,4.0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,
California,6.0,107.0,38.0,58.0,76.0,14.0,143.0,32.0,6.0,3.0,68.0,15.0,4.0,7.0,0,30.0,128.0,16.0,21.0,7.0,4535.0,55.0,302.0,128.0,4.0,21.0,14.0,7.0,0,31.0,0,187.0,0,23.0,7.0,14.0,3.0,17.0,104.0,0,18.0,0,0,6.0,116.0,178.0,0,15.0,16.0,0,0,8.0,156.0,0,5.0,44.0,4.0,0,730.0,6.0,26.0,8.0,0,4.0,16.0,30.0,0,584.0,8.0,24.0,11.0,0,15.0,204.0,4.0,8.0,0,24.0,0,166.0,192.0,5.0,16.0,0,70.0,36.0,211.0,36.0,5.0,15.0,12.0,0,8.0,607.0,4.0,21.0,26.0,8.0,35.0,0,7.0,27.0,13.0,26.0,24.0,21.0,84.0,36.0,8.0,19.0,0,3.0,20.0,614.0,43.0,35.0,32.0,0,0,0,0,86.0,64.0,23.0,0,5.0,228.0,21.0,0,13.0,9.0,0,2528.0,4.0,5.0,51.0,0,7.0,47.0,0,7131.0,5.0,4.0,0,16.0,5.0,29.0,0,18.0,141.0,34.0,343.0,4.0,3682.0,4.0,15.0,5.0,9.0,0,30.0,25.0,5.0,36.0,0,5.0,0,56.0,0,72.0,0,0,0,884.0,5051.0,35.0,5.0,26.0,63.0,31.0,48.0,19.0,33.0,16.0,69.0,15.0,14.0,33.0,750.0,94.0,0,809.0,12.0,18.0,4.0,28.0,176.0,316.0,954.0,0,51.0,4.0,4.0,0,623.0,0,59.0,0,80.0,5.0,93.0,17.0,21.0,180.0,18.0,31.0,0,23.0,77.0,198.0,2714.0,0,4.0,19.0,14.0,0,0,247.0,78.0,1046.0,238.0,28.0,14.0,102.0,13.0,0,6.0,0,11.0,457.0,34.0,20.0,5.0,6.0,57.0,7.0,44.0,0,0,0,0,0,0,3.0,1984.0,33.0,0,0,24.0,17.0,0,0,3.0,6.0,427.0,0,8.0,2515.0,37.0,519.0,1044.0,377.0,0,170.0,393.0,7.0,57.0,0,915.0,72.0,104.0,49.0,973.0,10.0,0,32.0,5.0,0,14.0,0,404.0,158.0,289.0,0,
Colorado,6.0,0,13.0,0,23.0,0,0,18.0,0,0,17.0,8.0,0,3.0,0,0,85.0,8.0,14.0,0,155.0,0,73.0,14.0,18.0,35.0,11.0,4.0,0,24.0,3.0,43.0,0,15.0,4.0,0,0,11.0,0,0,5.0,7.0,5.0,3.0,16.0,31.0,0,0,16.0,0,0,8.0,13.0,19.0,5.0,0,0,0,35.0,120.0,0,0,0,4.0,0,64.0,0,11.0,15.0,0,3.0,0,0,8143.0,4.0,4.0,0,19364.0,0,132.0,35.0,16.0,0,0,76.0,5.0,57.0,73.0,2.0,7.0,0,0,0,12.0,12.0,11.0,11.0,8.0,7.0,6.0,7.0,34.0,0,0,0,7.0,15.0,4.0,4.0,0,0,3.0,10.0,995.0,36.0,0,16.0,0,7.0,0,8.0,22.0,5.0,31.0,0,0,28.0,0,0,0,9.0,0,5.0,4.0,0,4.0,0,0,57.0,0,0,0,70.0,0,0,0,0,0,9.0,166.0,69.0,141.0,4.0,263.0,0,44.0,5.0,0,4.0,5.0,5.0,0,16.0,0,0,0,20.0,0,11.0,0,0,12.0,108.0,635.0,5.0,0,4.0,39.0,0,0,0,33.0,5.0,39.0,7.0,0,0,53.0,19.0,0,0,12.0,18.0,0,0,8.0,27.0,65.0,11.0,10.0,0,4.0,0,74.0,0,18.0,0,19.0,64.0,84.0,35.0,87.0,108.0,25.0,8.0,0,27.0,137.0,18.0,182.0,0,4.0,4.0,14.0,0,0,0,25.0,7.0,24.0,0,27.0,0,0,2.0,0,12.0,0,111.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,33.0,4.0,0,12.0,11.0,0,0,0,0,20.0,236.0,4.0,85.0,19.0,27.0,230.0,44.0,0,41.0,61.0,0,26.0,0,47.0,24.0,0,7.0,166.0,5.0,0,5.0,5.0,0,0,0,46.0,53.0,2596.0,0,
Connecticut,0,0,0,21.0,0,0,0,9.0,15.0,0,111.0,93.0,9.0,0,0,0,33.0,0,0,7.0,73.0,316.0,61.0,75.0,0,3.0,11.0,86.0,100.0,141.0,0,43.0,0,0,30.0,0,0,193.0,252.0,0,5.0,0,0,3.0,710.0,44.0,0,10.0,0,0,0,0,117.0,19.0,0,0,17.0,32.0,104.0,6.0,0,4.0,0,0,0,0,4.0,0,0,165.0,21.0,0,224.0,9.0,63.0,23.0,0,16.0,0,313.0,70.0,0,0,0,0,15.0,211.0,0,0,0,0,10.0,4.0,0,4.0,0,5.0,4.0,0,23.0,0,7.0,0,0,0,0,0,0,0,343.0,0,0,83.0,80.0,0,0,0,85.0,0,28.0,16.0,4.0,54.0,0,2.0,0,128.0,0,0,0,9.0,219.0,0,17.0,0,189.0,13.0,4.0,19.0,0,0,24.0,0,0,0,0,210.0,8.0,18.0,0,0,0,30.0,1027.0,0,0,14.0,0,231.0,20.0,0,10.0,62.0,0,0,0,0,0,22.0,3.0,0,0,1185.0,14.0,0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,115.0,234.0,0,0,41.0,40.0,0,7.0,28.0,81.0,18.0,0,0,0,0,0,89.0,0,47.0,6.0,28.0,5.0,9.0,0,0,12.0,0,39.0,0,0,0,0,0,52.0,0,8.0,0,0,0,599.0,0,0,0,4.0,76.0,0,0,36.0,0,0,0,635.0,5.0,12.0,2.0,6.0,17.0,2.0,9.0,0,3.0,2.0,0,0,0,0,19.0,0,0,22.0,71.0,0,0,0,3.0,0,24.0,0,261.0,5.0,43.0,27.0,15.0,3236.0,0,0,190.0,7.0,0,0,230.0,12.0,0,690.0,114.0,15.0,0,1647.0,23.0,31.0,5.0,21.0,38.0,70.0,17.0,0,
Delaware,0,0,0,110.0,0,0,0,5.0,3.0,17.0,4.0,31.0,13.0,0,0,0,9.0,0,0,0,0,23.0,6.0,4.0,0,0,14.0,36.0,0,8.0,0,0,0,0,0,0,0,6.0,0,3.0,5.0,0,0,0,5.0,0,0,20.0,0,0,0,21.0,17.0,13.0,0,0,4.0,0,25.0,0,0,4.0,0,0,0,0,0,0,8.0,0,0,0,0,0,31.0,4.0,0,0,0,0,6.0,0,0,8.0,0,15.0,5.0,0,0,0,6.0,46.0,0,0,0,0,0,0,0,23.0,0,7.0,0,0,0,0,0,0,0,3.0,0,0,15.0,6.0,0,0,0,8.0,0,22.0,0,17.0,75.0,0,0,0,6.0,0,0,0,0,0,0,39.0,0,8.0,0,0,0,0,0,0,0,226.0,0,0,0,0,0,0,0,10.0,0,63.0,0,0,0,0,0,10.0,20.0,16.0,31.0,0,0,0,0,0,0,0,0,0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,5.0,0,0,0,4.0,0,0,4.0,12.0,0,0,0,0,0,0,15.0,0,6.0,0,0,0,0,0,0,0,0,46.0,0,0,17.0,0,7.0,0,0,4.0,0,0,0,35.0,0,0,0,0,7.0,0,0,0,0,48.0,34.0,142.0,0,2.0,0,3.0,9.0,2.0,18.0,3.0,0,2.0,0,0,0,0,0,0,0,22.0,24.0,0,0,0,0,0,0,0,0,0,6.0,0,0,29.0,0,0,6.0,3.0,0,0,19.0,0,0,15.0,6.0,5.0,0,0,5.0,0,10.0,9.0,0,35.0,0,0,
District of Columbia,0,0,9.0,100.0,0,0,0,0,46.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,15.0,0,0,0,13.0,9.0,126.0,0,0,0,0,30.0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,39.0,12.0,0,0,0,0,0,21.0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,6.0,0,0,0,0,0,0,8.0,26.0,187.0,0,7.0,0,28.0,0,0,0,0,0,0,43.0,0,8.0,0,0,0,0,82.0,0,0,0,0,0,0,0,0,0,0,0,4.0,56.0,0,0,5.0,0,0,96.0,41.0,157.0,10.0,21.0,0,0,0,0,0,0,0,0,34.0,7.0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,22.0,5.0,0,0,6.0,0,0,0,4.0,27.0,11.0,0,0,0,4.0,0,22.0,0,6.0,0,0,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,2.0,0,0,0,0,0,0,0,80.0,5.0,22.0,2.0,0,4.0,9.0,35.0,0,0,8.0,0,0,0,0,12.0,0,0,0,12.0,0,0,0,0,0,12.0,0,0,0,19.0,5.0,0,0,0,0,12.0,0,0,0,52.0,4.0,0,7.0,11.0,0,0,0,5.0,0,0,4.0,25.0,35.0,0,0,
Florida,45.0,0,21.0,11.0,53.0,14.0,0,50.0,55.0,3.0,38.0,39.0,0,0,7.0,0,468.0,16.0,29.0,0,34.0,27.0,112.0,149.0,0,0,4.0,4.0,6.0,690.0,3.0,24.0,0,8.0,7.0,11.0,3.0,34.0,23.0,0,9.0,21.0,0,22.0,63.0,36.0,70.0,107.0,22.0,0,0,17.0,91.0,31.0,118.0,17.0,9.0,0,247.0,36.0,0,0,31.0,0,21.0,0,0,6.0,186.0,12.0,27.0,15.0,0,19.0,12.0,152.0,0,0,0,54.0,146.0,5.0,16.0,0,6.0,61.0,51.0,95.0,5.0,0,93.0,0,4.0,4.0,27.0,0,5.0,13.0,42.0,0,93.0,240.0,27.0,21.0,71.0,21.0,23.0,67.0,4.0,6.0,0,0,10.0,40.0,0,0,0,23.0,29.0,11.0,41.0,60.0,80.0,0,5.0,5.0,133.0,0,0,0,72.0,0,0,9.0,0,16.0,50.0,11.0,19.0,0,93.0,0,0,0,0,663.0,7.0,0,9.0,18.0,4.0,0,26.0,889.0,54.0,0,23.0,19.0,64.0,15.0,35.0,16.0,166.0,73.0,5.0,0,5.0,34.0,0,9.0,0,18.0,306.0,27.0,15.0,16.0,34.0,16.0,0,0,0,0,5.0,9.0,30.0,5.0,8.0,366.0,122.0,0,0,3401.0,9.0,0,21.0,156.0,58.0,7.0,78.0,123.0,26.0,31.0,0,237.0,0,42.0,34.0,15.0,0,5.0,13.0,41.0,12.0,6.0,31.0,5.0,32.0,68.0,0,15.0,0,4.0,26.0,0,0,0,106.0,0,4.0,0,4.0,1773.0,102.0,19.0,2.0,0,0,11.0,383.0,15.0,15.0,5.0,3.0,4.0,0,26.0,13.0,0,6.0,0,0,0,0,25.0,17.0,30.0,6.0,24.0,6.0,16.0,20.0,3.0,0,4.0,0,4.0,5.0,86.0,14.0,0,181.0,0,9.0,110.0,34.0,0,0,150.0,28.0,0,19.0,223.0,61.0,137.0,27.0,14.0,0,0,13.0,42.0,141.0,33.0,23.0,
